Hala-Muži-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
Hala-Ženy-1500 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,04:05.7,,2,Simona Vrzalová,88,SSK Vítkovice,Ostrava,12.2.2019
2,04:06.2,,2,Ivana Kubešová,62,VŠ Praha,Sevilla,10.3.1991
3,04:06.4,,6,Andrea Šuldesová,75,Lokomotiva Břeclav,Maebashi,6.3.1999
4,04:11.3,,7r1,Kristiina Mäki,91,Hvězda Pardubice,Portland,18.3.3016
5,04:11.5,,8,Diana Mezuliáníková,92,PSK Olymp Praha,Ostrava,14.2.2017
6,04:13.8,,2,Iva Jurková,66,Slov. Sl. Uh. Hradiště,Praha,26.1.1986
7,04:14.4,,8,Renata Hoppová,76,Sokol Kolín,Stockholm,6.2.2002
8,04:14.7,,6,Marcela Lustigová,82,USK Praha,Düsseldorf,3.2.2010
9,04:15.0,,2,Věra Nožičková,66,LIAZ Jablonec n. N.,Athinai,6.2.1988
10,04:15.1,,4,Jana Červenková,55,VŠ Praha,Budapest,3.2.1984
11,04:15.1,,5,Jana Kučeríková,64,VŠ Praha,Karlsruhe,28.1.1987
12,04:15.7,,4,Tereza Čapková,87,USK Praha,Düsseldorf,10.2.2012
13,04:16.5,,1,Dana Šatrová,86,USK Praha,Wien,3.2.2009
14,04:18.9,,1,Lenka Masná,85,ACP Olymp Brno,Praha,28.2.2010
15,04:19.9,,5,Jana Biolková,74,SSK Vítkovice,Sindelfingen,1.3.1997
16,04:21.4,,8,Božena Sudická,53,Sp. Přerovské strojírny,Göteborg,10.3.1974
17,04:22.0,,10,Lucie Sekanová,89,USK Praha,Ostrava,12.2.2019
18,04:22.4,,1,Michaela Kutišová,74,PSK Olymp Praha,Praha,15.2.1998
19,04:23.7,,3,Ludmila Češková,55,Zbrojovka Brno,Budapest,4.2.1981
20,04:24.5,,9,Anežka Drahotová,95,USK Praha,Praha,25.2.2014
21,04:24.8,,3,Monika Hamhalterová,66,Bohemians ČKD Praha,Sofia,13.2.1988
22,04:14.1,,2,Jana Červenková,55,VŠ Praha,Jablonec n. N.,28.1.1984
,,,,,,,,
Hala-Ženy-3000 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,08:49.2,,2,Andrea Šuldesová,75,Lokomotiva Břeclav,Erfurt,3.2.1999
2,08:57.1,,10,Simona Vrzalová,88,SSK Vítkovice,Ostrava,25.1.2018
3,08:58.9,,6,Kristiina Mäki,91,Hvězda SKP Pardubice,Karlsruhe ,31.1.2015
4,09:00.9,,1,Iva Jurková,66,Slov. Sl. Uh. Hradiště,Athinai,10.2.1990
5,09:02.1,,4,Ivana Kubešová,62,VŠ Praha,Berlin,13.2.1991
6,09:10.8,,2,Věra Nožičková,66,LIAZ Jablonec n. N.,Sofia,14.2.1988
7,09:11.6,,5,Michaela Mannová,82,TJ Dvůr Králové n. L.,Fayeteville,15.3.2003
8,09:12.6,,6,Diana Mezuliáníková,92,PSK Olymp Praha,Mondeville,4.2.2017
9,09:15.8,,3,Jana Kučeríková,64,VŠ Praha,Sindelfingen,30.1.1987
10,09:18.1,,1,Petra Kamínková,73,AK Olomouc,Praha,16.2.2002
11,09:20.6,,2,Radka Holubová,80,A.C. Kablo Kladno,Praha,16.2.2002
12,09:22.1,,1,Helena Volná,80,SK Železárny Prostějov,Eaubonne ,10.2.2015
13,09:22.4,,1,Lenka Švaňhalová,76,AC Pardubice,Bratislava,1.3.2003
14,09:22.7,,2,Lucie Sekanová,89,USK Praha,Praha,25.2.2017
15,09:23.3,,1,Monika Hamhalterová,66,Bohemians ČKD Praha,Praha,14.1.1989
16,09:23.5,,3,Moira Stewartová,95,SK Spartak Praha 4,Praha,25.2.2017
17,09:24.8,,4,Lucie Maršánová,90,Hvězda Pardubice,Praha,25.2.2017
18,09:25.6,,5b2,Martina Bařinová,90,SK Přerov,Lincoln,26.2.2011
19,09:25.9,,1,Marcela Lustigová,82,USK Praha,Praha,2.2.2008
20,09:26.4,,1,Tereza Čapková,87,USK Praha,Ostrava,27.2.2016
21,9:21.11*,,–,Jana Klimešová,70,USK Praha,Praha,31.1.1996
22,09:04.1,,2,Michaela Mannová,82,TJ Dvůr Králové n. L.,Seattle,31.1.2004
23,09:11.9,,1,Jana Kučeríková,64,VŠ Praha,Jablonec n. N.,7.2.1987
24,09:17.3,,1,Jana Červenková,55,VŠ Praha,Jablonec n. N.,30.1.1982
25,09:17.6,,6,Eva Krchová,89,AK Olymp Brno,Seattle,5.3.2011
,,,,,,,,
Hala-Ženy-60 m př.,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.95,,2,Lucie Škrobáková,82,USK Praha,Torino,6.3.2009
2,8.04,,3,Jitka Tesárková,65,LIAZ Jablonec n. N.,Sofia,13.2.1988
3,8.13,,1,Kateřina Cachová,90,USK Praha,Praha,21.2.2015
4,8.16,,1r1,Iveta Rudová,69,USK Praha,Chemnitz,29.1.1999
5,8.19,,1,Lucie Koudelová,94,AK Olymp Brno,Praha,25.2.2017
6,8.2,,P,Denisa Ščerbová,86,SSK Vítkovice,Sheffield,3.2.2008
7,8.21,,1,Petra Seidlová,81,USK Praha,Praha,25.2.2006
8,8.23,,1,Nikola Špinová,76,PSK Olymp Praha,Ostrava,29.1.1998
9,8.24,,1b4,Zuzana Hejnová,86,USK Praha,Praha,24.1.2017
10,8.25,,2,Blanka Hladká,65,TJ Vítkovice,Jablonec n. N.,5.2.1989
11,8.26,,2,Jana Korešová,81,USK Praha,Praha,21.2.2009
12,8.27,,3,Karolina  Hlavatá ,94,PSK Olymp Praha,Ostrava,27.2.2016
13,8.28,,2A,Hana Mužíčková,58,LIAZ Jablonec n. N.,Jablonec n. N.,12.2.1983
14,8.28,,2r1,Andrea Novotná,74,AK Milo Olomouc,Ostrava,29.1.1998
15,8.34,,2A,Jana Petříková,67,RH Praha,Jablonec n. N.,9.2.1986
16,8.35,,P,Michaela Hejnová,80,AC Slovan Liberec,Haag,31.1.1999
17,8.35,,1,Tereza Vokálová,98,LIAZ Jablonec n. N.,Ostrava,18.2.2017
18,8.36,,4,Helena Jiranová ,95,USK Praha,Linz,9.2.2019
19,8.38,,2b4,Kateřina Dvořáková,97,USK Praha,Cardiff,27.1.2019
20,8.4,,1r3,Markéta Štolová,0,TJ VTŽ Chomutov,Praha,17.2.2018
21,8.41,,2b1,Ina Michajlova,66,PSK Olymp Praha,Praha,22.1.1997
22,8.42,,2,Milena Tebichová,62,RH Praha,Jablonec n. N.,21.2.1988
23,8.42,,P,Helena Vinařová,74,PSK Olymp Praha,Valencia,28.1.1996
24,8.39ex,,P,Ina Michajlova,66,PSK Olymp Praha,Praha,19.1.1997
,,,,,,,,
Hala-Ženy-4x200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,01:34.7,,1b1,Reprezentační družstvo ,,,Wien,17.2.1996
2,01:37.9,,1,PSK Olymp Praha ,,,Praha,13.2.2000
3,01:38.2,,1b1,USK Praha ,,,Praha,18.2.2018
4,01:38.4,,2b1,AK Škoda Plzeň ,,,Praha,18.2.2018
5,01:39.1,,1b1,Sokol SG Plzeň-Petřín ,,,Praha,26.2.2017
6,01:39.2,,2b1  ,Dukla Praha ,,,Praha,26.2.2017
7,01:39.8,,2b1,AK Olymp Brno ,,,Ostrava,28.2.2016
8,01:40.1,,2b1,SSK Vítkovice  ,,,Praha,18.2.2001
9,01:41.4,,1b1,SK Spartak Praha 4 ,,,Praha,20.1.2001
10,01:41.6,,1b1,ASK Slavia Praha ,,,Praha,15.2.2004
11,01:41.7,,1b1,Sokol Č. Budějovice ,,,Praha,9.2.1997
,,,,,,,,
Hala-Ženy-4x400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,03:28.5,,4,Reprezentační družstvo ,,,Paris,9.3.1997
2,03:44.7,,1,USK Praha ,,,Praha,26.2.2006
3,03:48.6,,2,Hvězda SKP Pardubice ,,,Praha,22.2.2009
4,03:50.6,,2,SSK Vítkovice ,,,Praha,26.2.2006
5,03:50.8,,3,PSK Olymp Praha ,,,Praha,24.2.2008
6,03:53.2,,2,ASK Slavia Praha ,,,Praha,20.2.2005
7,03:53.8,,2,A.C. Tepo Kladno ,,,Praha,25.2.2007
8,03:54.1,,3,SK Spartak Praha 4 ,,,Praha,20.2.2005
9,03:56.0,,4,Sokol České Budějovice ,,,Praha,26.2.2006
10,04:00.7,,3,Sokol Kolín ,,,Praha,20.2.2011
11,04:08.4,,4,AC Čáslav ,,,Praha,20.2.2011
,,,,,,,,
Hala-Ženy-pětiboj h,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4687,,3,Eliška Klučinová,88,USK Praha,Praha,6.3.2015
2,4632,,1,Denisa Ščerbová,86,SSK Vítkovice,Sheffield,3.2.2008
3,4506,,1,Kateřina Cachová,90,USK Praha,Praha,13.2.2016
4,4453,,7,Zuzana Hejnová,86,USK Praha,Paris,4.3.2011
5,4366,,1,Helena Vinařová,74,PSK Olymp Praha,Valencia,28.1.1996
6,4321,,1,Jana Korešová,81,USK Praha,Praha,9.2.2008
7,4309,,1,Jana Klečková,75,A.C. Sparta Praha,Praha,10.2.2002
8,4301,,1,Dagmar Urbánková,62,PSK Olymp Praha,Praha,5.3.1995
9,4268,,4,Lucie Ondraschková,89,SSK Vítkovice,Albuquerque,15.3.2014
10,4258,,2,Kateřina Nekolná,75,USK Praha,Praha,6.2.2000
11,4212,,1,Michaela Hejnová,80,PSK Olymp Praha,Zaragoza,27.1.2002
12,4119,,4,Šárka Beránková,78,PSK Olymp Praha,Praha,6.2.2000
13,4116,,1,Jana  Novotná ,99,AK Olymp Brno ,Praha,11.2.2017
14,4103,,1,Nela Severová,87,USK Praha,Praha,8.2.2014
15,4082,,2,Kateřina Konvalinková,86,SSK Vítkovice,Praha,7.2.2009
16,4081,,6,Kateřina Dvořáková,97,USK Praha,Cardiff,27.1.2019
17,4074,,3,Alena Galertová,92,USK Praha,Praha,9.2.2013
18,4068,,4,Jana Vyštejnová,65,Slavia IPS Praha,Sofia,28.2.1988
19,4068,,5,Nikola Ogrodníková,90,SSK Vítkovice,Sheffield,3.2.2008
20,4059,,3,Hana Doleželová,79,TJ Valašské Meziříčí,Praha,14.2.1999
21,4047,,1j,Tereza Elena Šínová,,Atletika Jižní Město,Praha,9.2.2019
22,4042,,4,Kateřina Dvořáková,97,Dukla Praha,Praha,10.2.2018
23,4036,,5,Barbora Zatloukalová,97,USK Praha,Praha,10.2.2018
24,4025,,1,Barbara Szlendaková,78,ACP Junior Brno,Manhattan,19.2.1999
25,4070,,1,Barbara Szlendaková,78,ACP Junior Brno,Ames,25.2.2000
26,4213ex,,–,Ina Michajlova,66,PSK Olymp Praha,Praha,19.1.1997
,,,,,,,,
Hala-Ženy-koule 4kg,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,22.5,,1,Helena Fibingerová,49,VŽKG Vítkovice,Jablonec n. N.,19.2.1977
2,20.37,,1,Soňa Vašíčková,62,RH Praha,Praha,21.1.1989
3,19.76,,1,Zdeňka Šilhavá,54,RH Praha,Jablonec n. N.,19.2.1983
4,19.13,,2,Alena Vitoulová,60,TJ Vítkovice,Jablonec n. N.,20.2.1988
5,17.99,,1,Renata Bruková,70,TJ Vítkovice,Ostrava,14.1.1990
6,17.3,,1,Jana Kárníková,81,Hvězda SKP Pardubice,Praha,7.2.2010
7,17.06,,1,Markéta Červenková,91,USK Praha,Jablonec n. N.,30.1.2019
8,16.6,,1,Věra Pospíšilová,78,PSK Olymp Praha,Praha,17.2.2002
9,16.56,,2,Eva Čerňanová,71,TJ Vítkovice,Ostrava,5.1.1990
10,16.38,,2,Hana Mísařová,67,RH Praha,Sofia,14.2.1988
11,16.33,,1,Alice Matějková,69,A.C. Sparta Praha,Jablonec n. N.,26.2.1994
12,16.16,,3,Iveta Kudrnová,66,RH Praha,Praha,6.2.1988
13,16,,2,Ludmila Duchoňová,44,Slavia VŠ Praha,Jablonec n. N.,15.2.1975
14,16,,3,Jana Matysová,53,VŽKG Vítkovice,Jablonec n. N.,15.2.1975
15,15.68,,,Petra Jurášková,73,PSK Olymp Praha,Indianapolis,8.3.1997
16,15.63,,2,Petra  Klementová,88,AO Slavia Havířov,Ostrava,27.2.2016
17,15.62,,1,Gabriela Pallová,93,SSK Vítkovice,Ostrava,3.2.2018
18,15.46,,2,Lucie Vrbenská,77,ASK Slavia Praha,Praha,15.2.1998
19,15.44,,3,Dagmar Pešáková,72,AK Olomouc,Praha,15.2.1992
20,15.39,,2,Jitka Svatošová,75,PSK Olymp Praha,Praha,24.2.1996
21,15.37,,1,Milada Peterková,48,Sparta ČKD Praha,Praha,17.1.1976
,,,,,,,,
Hala-Ženy-dálka,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,6.64,,1,Denisa Ščerbová,86,SSK Vítkovice,Bratislava,6.2.2005
2,6.63,,1,Jarmila Nygrýnová,53,RH Praha,San Sebastian,13.3.1977
3,6.57,,1,Ludmila Jimramovská,58,Zbrojovka Brno,Brno,16.2.1985
4,6.57,,1,Martina Darmovzalová,78,Lokomotiva Břeclav,Praha,11.2.2004
5,6.54,,1,Eva Kuchtová,65,Škoda Plzeň,Praha,26.2.1983
6,6.48,,1A,Hana Tasová,59,VŠ Praha,Jablonec n. N.,12.2.1983
7,6.44,,1,Lucie Komrsková,77,USK Praha,Wien,3.2.2002
8,6.39,,1,Jana Korešová,81,USK Praha,Praha,29.1.2017
9,6.33,,P,Helena Vinařová,74,PSK Olymp Praha,Valencia,28.1.1996
10,6.33,,1,Šárka Kašpárková,71,USK Praha,Praha,30.1.1999
11,6.32,,1,Libuše Tománková,77,ACP Junior Brno,Bratislava,28.1.2001
12,6.31,,P,Dagmar Urbánková,62,PSK Olymp Praha,Praha,5.3.1995
13,6.31,,1,Zuzana Bičíková,81,USK Praha,Praha,8.2.2004
14,6.31,,1,Kateřina  Cachová,90,USK Praha ,Praha,10.2.2018
15,6.28,,1,Jitka Kubová,74,TJ Svitavy,Praha,16.2.1992
16,6.27,,1,Eliška Klučinová,88,USK Praha,Madrid,28.1.2018
17,6.25,,P,Lucie Kostnerová,81,AK Olomouc,Praha,25.2.2005
18,6.24,,3,Barbara Szlendaková,78,ACP Junior Brno,Ames,1.3.2002
19,6.23,,2,Marcela Koblasová,56,Škoda Plzeň,Jablonec n. N.,16.2.1980
20,6.23,,1,Martina Žabková,78,AK Škoda Plzeň,Jablonec n. N.,24.1.1998
21,6.23,,2,Šárka Beránková,78,PSK Olymp Praha,Praha,6.2.2001
,,,,,,,,
Hala-Ženy-trojskok,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,14.87,,3,Šárka Kašpárková,71,USK Praha,Maebashi,7.3.1999
2,14.02,,2,Martina Šestáková,78,USK Praha,Bratislava,5.2.2009
3,13.79,,Q13,Lucie Májková,88,USK Praha,Praha,7.3.2015
4,13.43,,1,Eva Doležalová,79,USK Praha,Bratislava,27.2.1999
5,13.38,,2,Alena Nezdařilová,69,JAC Brno,Praha,22.2.1997
6,13.3,,1,Gabriela Vaculová,85,PSK Olymp Praha,Jablonec n. N.,13.2.2008
7,13.24,,1,Dagmar Urbánková,62,PSK Olymp Praha,Praha,23.1.1994
8,13,,2,Iva Vedralová,86,ASK Slavia Praha,Praha,24.2.2007
9,12.99,,4,Jaroslava Neumanová,77,A.C. Sparta Praha,Bratislava,1.3.2003
10,12.91,,1A,Emma Maštalířová,0,SK Jeseniova,Praha,3.2.2019
11,12.9,,1,Lucie Bujetová,79,Sokol SG Plzeň-Petřín,Boston,3.3.2002
12,12.88,,3,Ljuba Dušilová,69,JAC Brno,Praha,22.2.1997
13,12.84,,1,Dominika  Horniaková,92,A.C. Sparta Praha,Ostrava,27.2.2016
14,12.78,,4,Jana Korešová,81,USK Praha,Praha,24.2.2007
15,12.74,,1,Lucie Uhlířová,91,SSK Vítkovice,Praha,10.1.2011
16,12.71,,2,Renata Černá,73,AC Bella Brno,Praha,15.2.1992
17,12.71,,1,Adéla Záhorová,99,TJ VS Tábor,Ostrava,25.2.2018
18,12.69,,2,Monika Turanská,79,ACP Junior Brno,Praha,16.2.2002
19,12.68,,1,Kateřina Hrabalová,79,AK Most,Praha,10.1.2004
20,12.68,,3,Klára Michalská,93,LIAZ Jablonec n. N.,Praha,16.2.2013
21,12.67,,4,Monika Špičková,67,Bohemians ČKD Praha,Glasgow,4.3.1990
22,12.67,,2,Šárka Buranská,89,Sokol Kolín,Praha,18.2.2018
23,12.66,,5,Lucie Kohútová,83,USK Praha,Praha,25.2.2006
,,,,,,,,
Hala-Ženy-tyč,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,4.71,,1=,Jiřina Svobodová,86,USK Praha,Dresden,31.1.2014
2,4.65,,1,Kateřina Baďurová,82,USK Praha,Praha,14.2.2007
3,4.64,,4,Pavla Rybová,78,Dukla Praha,Bydgoszcz,14.2.2007
4,4.62,,4= ,Romana Maláčová,87,USK Praha,Clermont-Ferrand,21.2.2016
5,4.48,,2,Daniela Bártová,74,Dukla Praha,Sindelfingen,8.3.1998
6,4.4,,2,Amálie  Švábíková ,99,USK Praha,Praha,26.2.2017
7,4.35,,3,Nikol  Jiroutová ,92,USK Praha,Praha,26.2.2017
8,4.3,,2,Aneta Morysková,92,USK Praha,Praha,21.2.2015
9,4.27,,3=A ,Rebeka Šilhanová,95,AK Olymp Brno,Praha,21.2.2017
10,4.2,,1,Šárka Mládková,76,USK Praha,Wien,3.2.2002
11,4.15,,MSA,Nikola  Pöschlová ,98,A.C. Tepo Kladno ,Praha,3.2.2018
12,4.1,,5,Michaela Boulová,81,USK Praha,Zweibrücken,1.2.2002
13,4.1,,2,Lucie Palasová,81,USK Praha,Wien,3.2.2002
14,4.03,,5A ,Zuzana  Pražáková ,97,Sokol Kolín,Praha,17.2.2016
15,3.95,,2B,Tereza Schejbalová,0,AK Škoda Plzeň,Praha,13.2.2018
16,3.93,,3,Kateřina  Vodová ,91,SSK Vítkovice,Baton Rouge ,20.2.2015
17,3.92,,4,Eliška Vaníčková,86,USK Praha,Praha,24.2.2008
18,3.92,,2,Kateřina Bartakovičová,0,AC Pardubice,Ostrava,24.2.2018
19,3.91,,2,Sabina  Pöschlová ,97,A.C. Tepo Kladno ,Praha,19.12.2014
20,3.9,,1,Dana Nováková,76,USK Praha,Praha,17.1.1998
21,3.86,,2,Libuše Tihonová,86,Slavoj Stará Boleslav,Praha,9.1.2010
22,3.85,,4,Nikola Pikartová,89,AK Olomouc,Praha,27.2.2010
23,3.85,,2A,Veronika Šebáková,2,ASK Slavia Praha,Praha,2.2.2019
,,,,,,,,
Hala-Ženy-výška,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,1.99,,2A,Barbora Laláková,81,USK Praha,Banská Bystrica,14.2.2006
2,1.98,,2,Zuzana Hlavoňová,73,USK Praha,Gent,25.2.2000
3,1.98,,1A,Iva Straková,80,PSK Olymp Praha,Čejkovice,14.3.2008
4,1.95,,1,Šárka Kašpárková,71,AAC Brno,Banská Bystrica,27.1.1993
5,1.95,,1,Romana Dubnova,78,SSK Vítkovice,Bucuresti,5.2.2006
6,1.95,,1,Michaela  Hrubá ,98,JAC Brno ,Praha,20.2.2016
7,1.92,,1,Oldřiška  Marešová ,86,A.C. Tepo Kladno ,Valašské Meziříčí ,14.3.2015
8,1.9,,1,Milada Karbanová,48,LIAZ Jablonec n. N.,Praha,26.2.1974
9,1.9,,1,Alena Varcholová,69,Sokol Brno I,Jablonec n. N.,12.1.1991
10,1.9,,2,Šárka Nováková,71,Sokol Brno I,Spala,16.2.1991
11,1.9,,1,Inge Janků,74,LIAZ Jablonec n. N.,Jablonec n. N.,31.1.1998
12,1.89,,1,Lada  Pejchalová ,98,USK Praha,Praha,18.2.2018
13,1.89,,1B,Klára Krejčiříková,2,AK Olymp Brno,Hustopeče,26.1.2019
14,1.88,,2,Věra Bradáčová,55,Sparta ČKD Praha,Třinec,13.2.1976
15,1.88,,3A,Yvona Tichopádová,64,RH Praha,Praha,29.1.1988
16,1.88,,2,Eliška  Klučinová ,88,USK Praha ,Praha,21.2.2015
17,1.87,,2,Kateřina Korčová,76,ACP Junior Brno,Otrokovice,23.1.2003
18,1.86,,1,Ivana Geržová,63,VŠ Praha,Jablonec n. N.,28.1.1984
19,1.86,,1,Zdeňka Svatošová,61,Sparta ČKD Praha,Jablonec n. N.,8.2.1986
20,1.85,,1,Miloslava Hübnerová,50,RH Praha,Berlin,4.2.1973
21,1.85,,2,Lada  Pejchalová ,98,Lokomotiva Trutnov ,Praha,14.2.2015
22,1.84,,4,Věra Skotnická,62,Bohemians ČKD Praha,Ústí n. L.,14.2.1979
23,1.84,,1,Daniela Reiská,61,TJ Vítkovice,Praha,14.2.1982
24,1.84,,3,Petra Lašková,77,SCHZ Lovosice,Pardubice,3.2.1996
25,1.84,,1,Magdalena Nová,92,SSK Vítkovice,Praha,26.2.2011
26,1.84,,P,Kateřina  Cachová,90,USK Praha ,Praha,13.2.2016
27,1.84,,1,Nikola Strachová,94,PSK Olymp Praha,Clarholz,7.1.2018
28,1.84,,2B,Bára Sajdoková,1,TJ TŽ Třinec,Hustopeče,26.1.2019
,,,,,,,,
Hala-Juniorky-60 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,7.36,,3,Hana Benešová,75,Slavoj Čáslav,Wien,6.2.1994
2,7.46,,1,Veronika Paličková,97,AK Hodonín,Praha,23.2.2013
3,7.49,,2A,Nikola Bendová,99,PSK Olymp Praha,Linz,12.2.2016
4,7.5,,1,Milena Tebichová,62,RH Praha,Sofia,4.3.1979
5,7.51,,6A,Kateřina Čechová,88,AC Mor. Slavia Brno,Bratislava,28.1.2007
6,7.52,,1,Kateřina Vávrová,98,AC Sl. Sl. Uh. Hradiště,Linz,12.2.2016
7,7.54,,1,Klára Seidlová,94,USK Praha,Praha,23.2.2013
8,7.54,,1r3 ,Emily  Gerulová ,97,SSK Vítkovice ,Praha,31.1.2015
9,7.54,,1,Anna  Kerbachová ,0,Atletika Jižní Město ,Jablonec n. N.,28.2.2015
10,7.55,,3A,Renata Černochová,65,TJ Vítkovice,Jablonec n. N.,19.2.1983
11,7.55,,3,Denisa Ščerbová,86,SSK Vítkovice,Praha,19.2.2005
12,7.55,,1,Martina Černochová,94,AK PSK Zlín,Praha,26.2.2011
13,7.56,,4A,Monika Špičková,67,Bohemians ČKD Praha,Jablonec n. N.,9.2.1985
14,7.56,,1=r1,Štěpánka Klapáčová,78,AC Škoda Plzeň,Jablonec n. N.,29.1.1994
15,7.56,,1A,Lenka Ficková,82,ŠAK Chrudim,Praha,19.2.2000
16,7.56,,2,Zdeňka Seidlová,97,AC Vysoké Mýto,Praha,20.2.2016
17,7.57,,1b2,Tereza  Vokálová,98,TJ LIAZ Jablonec n/N.,Jablonec  n. N.,5.3.2016
18,7.58,,4A,Naděžda Tomšová,71,Spartak Soběslav,Jablonec n. N.,20.2.1988
19,7.58,,1,Adéla Záhorová,99,TJ VS Tábor,Ostrava,24.2.2018
20,7.58,,1,Adéla Novotná,3,LIAZ Jablonec n. N.,Ostrava,3.3.2018
21,7.59,,1r2,Helena Syručková,65,VŠ Praha,Jablonec n. N.,18.2.1984
22,7.59,,3,Kristina Bažatová,84,Sokol Č. Budějovice,Bratislava,1.3.2003
23,7.3,,4,Eva Putnová,50,Zbrojovka Brno,Wien,23.3.1969
24,7.3,,1A,Kristina Bažatová,84,Sokol Č. Budějovice,Praha,1.2.2003
25,7.3,,1b1,Zdeňka Seidlová,97,AC Vysoké Mýto,Pardubice,23.1.2016
,,,,,,,,
Hala-Juniorky-200 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,23.67,,4,Hana Benešová,75,Slavoj Čáslav,Paris,13.3.1994
2,23.85,,2,Barbora Šplechtnová,2,PSK Olymp Praha,Ostrava,17.2.2019
3,24.04,,1,Kateřina Čechová,88,AC Mor. Slavia Brno,Praha,25.2.2007
4,24.1,,1A,Renata Černochová,65,TJ Vítkovice,Praha,6.2.1983
5,24.12,,1A,Lenka Ficková,82,ŠAK Chrudim,Praha,20.2.2000
6,24.12,,1r2,Kateřina Vávrová,98,AC Sl. Sl. Uh. Hradiště,Praha,26.2.2017
7,24.13,,1b20,Lada Vondrová,99,Hvězda Pardubice,Praha,23.1.2018
8,24.15,,2r3,Nikoleta Jíchová,0,ASK Slavia Praha,Ostrava,17.2.2019
9,24.23,,1r1,Naděžda Tomšová,71,Spartak Soběslav,Praha,6.2.1988
10,24.23,,3A,Štěpánka Klapáčová,78,AC Škoda Plzeň,Praha,26.2.1995
11,24.27,,1,Helena Jiranová,95,Sokol Kolín,Praha,23.2.2014
12,24.27,,2,Linda Hettlerová,1,AK Škoda Plzeň,Ostrava,25.2.2018
13,24.3,,3,Barbora  Dvořáková,97,Dukla Praha,Ostrava,28.2.2016
14,24.33,,1,Zdeňka  Seidlová,97,AC Vysoké Mýto,Praha,21.2.2016
15,24.35,,1,Anna  Kerbachová ,0,Atletika Jižní Město ,Praha,21.2.2016
16,24.37,,4,Nikola  Bendová,99,PSK Olymp Praha,Ostrava,28.2.2016
17,24.43,,2r1,Barbora Hůlková,1,LIAZ Jablonec n. N.,Ostrava,17.2.2019
18,24.49,,2,Agáta Kolingerová,99,ASK Slavia Praha,Ostrava,19.2.2017
19,24.52,,2A,Jana Niková,68,TJ Vítkovice,Praha,24.1.1987
20,24.53,,3,Kateřina  Dvořáková,97,Dukla Praha,Praha,21.2.2016
21,24.55,,2A,Zuzana Peichlová,79,AC Pardubice,Praha,25.2.1996
22,24.61,,2b2,Jana Sajdoková,87,TŽ Třinec,Eaubonne,29.2.2004
23,24.65,,1b6,Tereza Vokálová,98,LIAZ Jablonec n. N.,Praha,24.1.2017
24,24.67,,2r2,Věra Holubářová,0,AK Olymp Brno,Ostrava,17.2.2019
25,24.68,,1,Veronika Paličková,97,AK Hodonín,Praha,24.2.2013
26,24.75,,1,Nikol Šebestíková,94,SSK Vítkovice,Praha,19.2.2012
27,24.75,,2,Klára Seidlová,94,USK Praha,Praha,19.2.2012
28,23.8,,1b1,Renata Černochová,65,TJ Vítkovice,Ostrava,29.1.1983
29,24.07,,1A,Renata Černochová,65,TJ Vítkovice,Jablonec n. N.,20.2.1983
,,,,,,,,
Hala-Juniorky-400 m,,,,,,,,
Poř.,Výkon,Vítr,Poř,Jméno a příjmení,Narozen,Oddíl,Místo,Datum
1,52.95,,1b1,Lada Vondrová,99,Hvězda Pardubice,Praha,10.2.2018
2,54.08,,1,Zuzana Hejnová,86,USK Praha,Praha,20.2.2005
3,54.2,,2,Barbora  Malíková,1,TJ Sokol Opava,Praha,26.2.2017
4,54.36,,4A,Kateřina Glosová,79,SK Hranice,Praha,23.2.1997
5,54.37,,1A,Ludmila Formanová,74,Slavoj Čáslav,Wien,31.1.1993
6,54.39,,3,Zdeňka Seidlová,97,AC Vysoké Mýto,Praha,22.2.2015
